id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-BH-x-baharna-cs-011	أَبِي أَشْتَرِي online بَسّ مَا لَقِيت offer	أبي أشتري online بس ما لقيت offer	ˈʔabiː ˈʔaʃtariː unlajn ˈbass maː laˈtʃiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlajn; offer→ufar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-012	service مُو زَيْن وْ delivery مِتْأَخِّر	service مو زين و delivery متأخر	sarfis muː ˈzeːn w dilifari mitˈʔaχχir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ muː biˈtʃart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-014	وَدِّيت car عَلَى service الْحِين	وديت car على service الحين	wadˈdiːt kaːr ˈʕalaː sarfis alˈħiːn	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-015	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhadaː muːdiːl dʒaˈdiːd w ʔotomatik	this model is new and automatic	model;automatic	[automotive] model→muːdiːl; automatic→ʔotomatik. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-016	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	muː ˈʕaːrif ˈbass ˈʔanaː θink ˈhadaː muːdiːl ˈʁaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→θink; model→muːdiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfatʃ fiː wiːkind ˈʔin ˈʃaːʔa lˈlaːh	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suri taʔaχˈχart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suri; meeting→miːtinɡ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-019	ok زَيْن نِتْكَلَّم الْحِين	ok زين نتكلم الحين	oːkeː ˈzeːn nitˈtʃallam alˈħiːn	ok fine, we'll talk now	ok	[daily] ok→oːkeː. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-BH-x-baharna-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manidʒar fiː ɡaraːdʒ	did you see the manager in the garage	manager;garage	[daily] manager→manidʒar; garage→ɡaraːdʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
