id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-TR-x-cukurova-cs-011	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjʊːsˤɑl ˈbukra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-012	أُرِيد أَشْتَرِي online بَسّ مَا لَقِيت offer	أريد أشتري online بس ما لقيت offer	ʔuˈriːd ˈʔaʃtariː unlajn ˈbass maː laˈʔiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlajn; offer→ufar. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-013	service مِش جَيِّد وْ delivery مِتْأَخِّر	service مش جيد و delivery متأخر	sarfis ˈmiʃ ˈʒajjid w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-014	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ muː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-015	وَدِّيت car عَلَى service الْآن	وديت car على service الآن	wadˈdiːt kaːr ˈʕalaː sarfis alˈʔaːn	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-016	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhadaː muːdiːl ʒaˈdiːd w ʔotomatik	this model is new and automatic	model;automatic	[automotive] model→muːdiːl; automatic→ʔotomatik. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-017	مِش عَارِف بَسّ أَنَا think هَذَا model غَالِي	مش عارف بس أنا think هذا model غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː θink ˈhadaː muːdiːl ˈɣaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→θink; model→muːdiːl. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-018	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa lˈlaːh	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-019	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suri taʔaxˈxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suri; meeting→miːtinɡ. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-020	ok جَيِّد نِتْكَلَّم الْآن	ok جيد نتكلم الآن	oːkeː ˈʒajjid nitˈkallam alˈʔaːn	ok fine, we'll talk now	ok	[daily] ok→oːkeː. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-021	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manidʒar ˈfiː ɡaraːdʒ	did you see the manager in the garage	manager;garage	[daily] manager→manidʒar; garage→ɡaraːdʒ. table: Levantine (Al-Saidat 2011; Cowell 1964)
