id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-EG-x-bedawi-cs-011	أُرِيد أَشْتَرِي online بَسّ مَا لَقِيت offer	أريد أشتري online بس ما لقيت offer	ʔuˈriːd ˈʔaʃtariː unlajn ˈbass ˈmaː laˈɡiːt ufar	I want to buy online but I did not find an offer	online;offer	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [commerce] online→unlajn; offer→ufar. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-012	service مِش جَيِّد وْ delivery مِتْأَخِّر	service مش جيد و delivery متأخر	sarfis ˈmiʃ ˈdʒajjid w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [commerce] service→sarfis; delivery→dilifari. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [commerce] cash→kaʃ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-014	وَدِّيت car عَلَى service الْآن	وديت car على service الآن	wadˈdiːt kaːr ˈʕalaː sarfis alˈʔaːn	I took the car to service now	car;service	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [automotive] car→kaːr; service→sarfis. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-015	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː muːdiːl dʒaˈdiːd w ʔotomatik	this model is new and automatic	model;automatic	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [automotive] model→muːdiːl; automatic→ʔotomatik. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-016	مِش عَارِف بَسّ أَنَا think هَذَا model غَالِي	مش عارف بس أنا think هذا model غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː tink ˈhaðaː muːdiːl ˈɣaːliː	I don't know but I think this model is expensive	think;model	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [automotive] think→tink; model→muːdiːl. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak fiː wiːkind ˈʔin ˈʃaːʔa lˈlaːh	we see you on the weekend, God willing	weekend	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [daily] weekend→wiːkind. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suri taʔaxˈxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [daily] sorry→suri; meeting→miːtinɡ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-019	ok جَيِّد نِتْكَلَّم الْآن	ok جيد نتكلم الآن	oːkeː ˈdʒajjid nitˈkallam alˈʔaːn	ok fine, we'll talk now	ok	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [daily] ok→oːkeː. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft maniɡar fiː ɡaraːɡ	did you see the manager in the garage	manager;garage	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [daily] manager→maniɡar; garage→ɡaraːɡ. table: Egyptian (Hafez 1996; Watson 2002)
