id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-SA-x-shamali-cs-012	أَبِي أَشْتَرِي online بَسّ مَا لَقِيت offer	أبي أشتري online بس ما لقيت offer	ˈʔabiː ˈʔaʃtariː unlajn ˈbass maː laˈdziːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlajn; offer→ufar. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-013	service مُو زَيْن وْ delivery مِتْأَخِّر	service مو زين و delivery متأخر	sarfis muː ˈzajn w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-014	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	ˈdafaʕat kaʃ muː biˈtsart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-015	وَدِّيت car عَلَى service الْحِين	وديت car على service الحين	wadˈdiːt kaːr ˈʕalaː sarfis alˈħiːn	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-016	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː muːdiːl dʒaˈdiːd w ʔotomatik	this model is new and automatic	model;automatic	[automotive] model→muːdiːl; automatic→ʔotomatik. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-017	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	muː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː muːdiːl ˈɣaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→θink; model→muːdiːl. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-018	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfats fiː wiːkind ˈʔin ˈʃaːʔa lˈlaːh	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-019	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suri taʔaxˈxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suri; meeting→miːtinɡ. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-020	ok زَيْن نِتْكَلَّم الْحِين	ok زين نتكلم الحين	oːkiː ˈzajn nitˈkallam alˈħiːn	ok fine, we'll talk now	ok	[daily] ok→oːkiː. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-021	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manidʒar fiː ɡaraːdʒ	did you see the manager in the garage	manager;garage	[daily] manager→manidʒar; garage→ɡaraːdʒ. table: Najdi (Alhoody 2019)
