id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-SA-x-janubi-cs-011	أُرِيد أَشْتَرِي online بَسّ مَا لَقِيت offer	أريد أشتري online بس ما لقيت offer	ʔuˈriːd ˈʔaʃtariː unlajn ˈbass maː laˈqiːt ufar	I want to buy online but I did not find an offer	online;offer	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [commerce] online→unlajn; offer→ufar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-012	service مِش جَيِّد وْ delivery مِتْأَخِّر	service مش جيد و delivery متأخر	sarfis ˈmiʃ ˈdʒajjid w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ muː biˈkart	I paid cash not by card	cash	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-014	وَدِّيت car عَلَى service الْآن	وديت car على service الآن	wadˈdiːt kaːr ˈʕalaː sarfis alˈʔaːn	I took the car to service now	car;service	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [automotive] car→kaːr; service→sarfis. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-015	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː muːdiːl dʒaˈdiːd w ʔotomatik	this model is new and automatic	model;automatic	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [automotive] model→muːdiːl; automatic→ʔotomatik. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-016	مِش عَارِف بَسّ أَنَا think هَذَا model غَالِي	مش عارف بس أنا think هذا model غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː muːdiːl ˈɣaːliː	I don't know but I think this model is expensive	think;model	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [automotive] think→θink; model→muːdiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak fiː wiːkind ˈʔin ˈʃaːʔa lˈlaːh	we see you on the weekend, God willing	weekend	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suri taʔaxˈxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [daily] sorry→suri; meeting→miːtinɡ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-019	ok جَيِّد نِتْكَلَّم الْآن	ok جيد نتكلم الآن	uːkiː ˈdʒajjid nitˈkallam alˈʔaːn	ok fine, we'll talk now	ok	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [daily] ok→uːkiː. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manidʒar fiː ɡaraːdʒ	did you see the manager in the garage	manager;garage	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [daily] manager→manidʒar; garage→ɡaraːdʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
