# latin	arabic_form	form_kind	source_url	date_read
ELANTRA	النترا	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/elantra	2026-09-19
ELANTRA	إلانترا	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
EVEREST	إيفرست	distributor-site	https://ar.aljazirahford.com/	2026-09-20
EXPEDITION	إكسبيديشن	distributor-site	https://ar.aljazirahford.com/	2026-09-20
EXPLORER	إكسبلورر	distributor-site	https://ar.aljazirahford.com/	2026-09-20
FAW	فاو	marketplace	https://www.salehcars.com/	2026-09-20
Fiat	فيات	marketplace	https://www.salehcars.com/	2026-09-20
Ford	فورد	marketplace	https://www.salehcars.com/	2026-09-20
Foton	فوتون	marketplace	https://www.salehcars.com/	2026-09-20
G-CLASS	الفئة G	distributor-site	https://www.mercedes-benz-mena.com/ksa/ar/	2026-09-20
GAC	جي اى سي	distributor-site	https://ar.gacmotorsaudi.com/	2026-09-20
GAC	جي ايه سي	marketplace	https://www.salehcars.com/	2026-09-20
Geely	جيلي	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
Genesis	جينيسيس	marketplace	https://www.salehcars.com/	2026-09-20
GEOMETRY C	جيومتري سي	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
GMC	جي أم سي	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
GMC	جي ام سي	marketplace	https://www.salehcars.com/	2026-09-20
GRAND CHEROKEE	جراند شيروكي	brand-site	https://www.jeep-saudi.com/ar/	2026-09-19
GRAND I10	جراند آي10	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Great Wall	جريت وول	marketplace	https://www.salehcars.com/	2026-09-20
GROOVE	جرووف	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
H1	أتش1	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
H1	إتش1	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Haval	هافال	brand-site	https://www.haval.com.sa/ar	2026-09-19
HIACE	هايس	distributor-site	https://www.toyota.com.sa/ar/vehicles	2026-09-20
HILUX	هايلكس	distributor-site	https://www.toyota.com.sa/ar	2026-09-20
Honda	هوندا	brand-site	https://honda-mideast.com/ar-sa	2026-09-20
Hongqi	هونشي	marketplace	https://www.salehcars.com/	2026-09-20
HUMMER	هامر	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
Hyundai	هيونداي	brand-site	https://hyundaiksa.com/ar	2026-09-19
I10	آي10	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Infiniti	إنفينيتي	brand-site	https://ar.infiniti-saudiarabia.com/	2026-09-20
IONIQ	أيونك	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Isuzu	ايسوزو	distributor-site	https://isuzu.sa/ar/	2026-09-19
Jaecoo	جايكو	marketplace	https://www.salehcars.com/	2026-09-20
Jeep	جيب	brand-site	https://www.jeep-saudi.com/ar/	2026-09-19
Jetour	جيتور	marketplace	https://www.salehcars.com/	2026-09-20
JOLION	جوليان	brand-site	https://www.haval.com.sa/ar	2026-09-19
Kaiyi	كايي	marketplace	https://www.salehcars.com/	2026-09-20
Kia	كيا	distributor-site	https://www.kia.com/sa/ar/	2026-09-19
KICKS	كيكس	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
KONA	كونا	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Lamborghini	لامبورجيني	marketplace	https://www.salehcars.com/	2026-09-20
LAND CRUISER	لاندكروزر	distributor-site	https://www.toyota.com.sa/ar	2026-09-20
LAND CRUISER PRADO	برادو	distributor-site	https://www.toyota.com.sa/ar	2026-09-20
Land Rover	لاند روڤر	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
Lexus	لكزس	brand-site	https://www.lexus.com.sa/ar	2026-09-20
Lincoln	لينكولن	marketplace	https://www.salehcars.com/	2026-09-20
Lynk & Co	لينك اند كو	marketplace	https://www.salehcars.com/	2026-09-20
MAGNITE	ماجنايت	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
Mazda	مازدا	brand-site	https://mazda.com.sa/ar/vehicles/	2026-09-19
Mercedes-Benz	مرسيدس-بنز	distributor-site	https://www.mercedes-benz-mena.com/ksa/ar/	2026-09-20
Mercedes-Benz	مرسيدس بنز	marketplace	https://www.salehcars.com/	2026-09-20
MERCEDES-MAYBACH	مرسيدس-مايباخ	distributor-site	https://www.mercedes-benz-mena.com/ksa/ar/	2026-09-20
MG	إم جي	brand-site	https://www.mg-sa.com/ar/models/	2026-09-19
MG	ام جي	marketplace	https://www.salehcars.com/	2026-09-20
Mitsubishi	ميتسوبيشي	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
MONJARO	مونجارو	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
MONTERO SPORT	مونتيرو سبورت	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
MUSTANG	موستانج	distributor-site	https://ar.aljazirahford.com/	2026-09-20
MUSTANG MACH-E	موستانج ماك إي	distributor-site	https://ar.aljazirahford.com/	2026-09-20
Nissan	نيسان	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
OKAVANGO	أوكافانجو	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
Omoda	امودا	marketplace	https://www.salehcars.com/	2026-09-20
OUTLANDER	أوتلاندر	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
OUTLANDER	اوتلاندر	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
PALISADE	باليسيد	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/palisade	2026-09-19
PALISADE	باليسايد	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
PATHFINDER	باثفايندر	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
PATROL	باترول	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
PATROL NISMO	باترول نيسمو	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
Peugeot	بيجو	marketplace	https://www.salehcars.com/	2026-09-20
PILOT	بايلوت	brand-site	https://honda-mideast.com/ar-sa	2026-09-20
PREFACE	بريفيس	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
RAM	رام	marketplace	https://www.salehcars.com/	2026-09-20
RANGE ROVER	رينج روڤر	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
RANGE ROVER EVOQUE	رينج روڤر إيڤوك	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
RANGE ROVER SPORT	رينج روڤر سبورت	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
RANGER	رينجر	distributor-site	https://ar.aljazirahford.com/	2026-09-20
Renault	رينو	marketplace	https://www.salehcars.com/	2026-09-20
Rolls-Royce	رولز رويس	marketplace	https://www.salehcars.com/	2026-09-20
ROX	روكس	marketplace	https://www.salehcars.com/	2026-09-20
S-CLASS	الفئة S	distributor-site	https://www.mercedes-benz-mena.com/ksa/ar/	2026-09-20
Saic Motor	سايك موتور	marketplace	https://www.salehcars.com/	2026-09-20
SANTA FE	سانتافي	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/santa-fe	2026-09-19
SANTA FE	سانتافيه	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
SIERRA	سييرا	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
SILVERADO	سيلفرادو	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
Skoda	سكودا	marketplace	https://www.salehcars.com/	2026-09-20
SONATA	سوناتا	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/sonata	2026-09-19
SONATA	سوناتا	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Soueast	ساو إيست	marketplace	https://www.salehcars.com/	2026-09-20
SPARK	سبارك	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
SPORTAGE	سبورتاج	distributor-site	https://www.kia.com/sa/ar/	2026-09-19
Ssangyong	سانج يونج	marketplace	https://www.salehcars.com/	2026-09-20
STARRAY	ستار راي	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
SUBURBAN	سوبربان	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
Suzuki	سوزوكي	marketplace	https://www.salehcars.com/	2026-09-20
TAHOE	تاهو	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
TASMAN	تاسمان	distributor-site	https://www.kia.com/sa/ar/	2026-09-19
TAURUS	توروس	distributor-site	https://ar.aljazirahford.com/	2026-09-20
TEKTON	تيكتون	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
TERRAIN	تيرين	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
TERRITORY	تيريتوري	distributor-site	https://ar.aljazirahford.com/	2026-09-20
Toyota	تويوتا	brand-site	https://www.toyota.com.sa/ar	2026-09-19
TRAVERSE	ترافرس	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
TUCSON	توسان	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/tucson	2026-09-19
TUCSON	توسان	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
TUGELLA	توجيلا	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
VELOSTER	فيلوستر	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
VENUE	فينيو	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/venue	2026-09-19
VERACRUZ	فيراكروز	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
Volkswagen	فولكس فاجن	marketplace	https://www.salehcars.com/	2026-09-20
WRANGLER	رانجلر	brand-site	https://www.jeep-saudi.com/ar/	2026-09-19
X-TERRA	إكس-تيرّا	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
X-TRAIL	إكس-تريل	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
XPANDER	اكسباندر	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
XPANDER CROSS	اكسباندر كروس	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
YUKON	يوكون	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
